"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes"
"1","LOC111099737","GO:0030091","protein repair",3,1,0.02,0.0191,"Biological Processes",0.333333333333333
"2","LOC111103374","GO:0016094","polyprenol biosynthetic process",4,1,0.03,0.0255,"Biological Processes",0.25
"3","LOC111106022","GO:0007162","negative regulation of cell adhesion",15,2,0.1,0.0041,"Biological Processes",0.133333333333333
"4","LOC111106022","GO:0008360","regulation of cell shape",19,2,0.12,0.0065,"Biological Processes",0.105263157894737
"5","LOC111106022","GO:0030334","regulation of cell migration",37,3,0.24,0.0136,"Biological Processes",0.0810810810810811
"6","LOC111106022","GO:0043087","regulation of GTPase activity",84,3,0.54,0.0119,"Biological Processes",0.0357142857142857
"7","LOC111106022","GO:0050772","positive regulation of axonogenesis",16,2,0.1,0.0046,"Biological Processes",0.125
"8","LOC111106022","GO:1902287","semaphorin-plexin signaling pathway involved in axon guidance",15,2,0.1,0.0041,"Biological Processes",0.133333333333333
"9","LOC111108439","GO:0007162","negative regulation of cell adhesion",15,2,0.1,0.0041,"Biological Processes",0.133333333333333
"10","LOC111108439","GO:0008045","motor neuron axon guidance",5,1,0.03,0.0317,"Biological Processes",0.2
"11","LOC111108439","GO:0008360","regulation of cell shape",19,2,0.12,0.0065,"Biological Processes",0.105263157894737
"12","LOC111108439","GO:0030334","regulation of cell migration",37,3,0.24,0.0136,"Biological Processes",0.0810810810810811
"13","LOC111108439","GO:0043087","regulation of GTPase activity",84,3,0.54,0.0119,"Biological Processes",0.0357142857142857
"14","LOC111108439","GO:0050772","positive regulation of axonogenesis",16,2,0.1,0.0046,"Biological Processes",0.125
"15","LOC111108439","GO:0097374","sensory neuron axon guidance",1,1,0.01,0.0064,"Biological Processes",1
"16","LOC111108439","GO:1902287","semaphorin-plexin signaling pathway involved in axon guidance",15,2,0.1,0.0041,"Biological Processes",0.133333333333333
"17","LOC111115910","GO:0015701","bicarbonate transport",6,1,0.04,0.0379,"Biological Processes",0.166666666666667
"18","LOC111117505","GO:0030182","neuron differentiation",189,8,1.21,0.0318,"Biological Processes",0.0423280423280423
"19","LOC111118472","GO:0006211","5-methylcytosine catabolic process",1,1,0.01,0.0064,"Biological Processes",1
"20","LOC111121327","GO:0030182","neuron differentiation",189,8,1.21,0.0318,"Biological Processes",0.0423280423280423
"21","LOC111121590","GO:0038061","NIK/NF-kappaB signaling",2,1,0.01,0.0128,"Biological Processes",0.5
"22","LOC111122190","GO:0006616","SRP-dependent cotranslational protein targeting to membrane, translocation",3,1,0.02,0.0191,"Biological Processes",0.333333333333333
"23","LOC111122190","GO:0045048","protein insertion into ER membrane",5,1,0.03,0.0317,"Biological Processes",0.2
"24","LOC111122725","GO:0045162","clustering of voltage-gated sodium channels",1,1,0.01,0.0064,"Biological Processes",1
"25","LOC111124421","GO:0007160","cell-matrix adhesion",103,3,0.66,0.0286,"Biological Processes",0.029126213592233
"26","LOC111124765","GO:0007160","cell-matrix adhesion",103,3,0.66,0.0286,"Biological Processes",0.029126213592233
"27","LOC111125749","GO:0043041","amino acid activation for nonribosomal peptide biosynthetic process",1,1,0.01,0.0064,"Biological Processes",1
"28","LOC111125856","GO:0035023","regulation of Rho protein signal transduction",6,1,0.04,0.0379,"Biological Processes",0.166666666666667
"29","LOC111127799","GO:0046856","phosphatidylinositol dephosphorylation",17,2,0.11,0.0052,"Biological Processes",0.117647058823529
"30","LOC111127799","GO:0048488","synaptic vesicle endocytosis",18,2,0.12,0.0058,"Biological Processes",0.111111111111111
"31","LOC111128396","GO:0051262","protein tetramerization",6,1,0.04,0.0379,"Biological Processes",0.166666666666667
"32","LOC111130064","GO:0001755","neural crest cell migration",4,1,0.03,0.0255,"Biological Processes",0.25
"33","LOC111130064","GO:0048843","negative regulation of axon extension involved in axon guidance",4,1,0.03,0.0255,"Biological Processes",0.25
"34","LOC111130064","GO:0050919","negative chemotaxis",3,1,0.02,0.0191,"Biological Processes",0.333333333333333
"35","LOC111130064","GO:0071526","semaphorin-plexin signaling pathway",19,3,0.12,0.0249,"Biological Processes",0.157894736842105
"36","LOC111130626","GO:0007160","cell-matrix adhesion",103,3,0.66,0.0286,"Biological Processes",0.029126213592233
"37","LOC111131099","GO:0007528","neuromuscular junction development",6,1,0.04,0.0379,"Biological Processes",0.166666666666667
"38","LOC111131099","GO:0016081","synaptic vesicle docking",1,1,0.01,0.0064,"Biological Processes",1
"39","LOC111131099","GO:0016082","synaptic vesicle priming",5,1,0.03,0.0317,"Biological Processes",0.2
"40","LOC111131099","GO:0016188","synaptic vesicle maturation",2,1,0.01,0.0128,"Biological Processes",0.5
"41","LOC111131099","GO:0061789","dense core granule priming",1,1,0.01,0.0064,"Biological Processes",1
"42","LOC111131099","GO:0099525","presynaptic dense core vesicle exocytosis",1,1,0.01,0.0064,"Biological Processes",1
"43","LOC111135587","GO:0046856","phosphatidylinositol dephosphorylation",17,2,0.11,0.0052,"Biological Processes",0.117647058823529
"44","LOC111135587","GO:2001135","regulation of endocytic recycling",2,1,0.01,0.0128,"Biological Processes",0.5
"45","LOC111136261","GO:0007274","neuromuscular synaptic transmission",7,1,0.04,0.0441,"Biological Processes",0.142857142857143
"46","LOC111136699","GO:0048488","synaptic vesicle endocytosis",18,2,0.12,0.0058,"Biological Processes",0.111111111111111
"47","LOC111137712","GO:0015786","UDP-glucose transmembrane transport",1,1,0.01,0.0064,"Biological Processes",1
"48","LOC111103374","GO:1904423","dehydrodolichyl diphosphate synthase complex",3,1,0.02,0.0191,"Cellular Components",0.333333333333333
"49","LOC111106022","GO:0002116","semaphorin receptor complex",15,2,0.1,0.004,"Cellular Components",0.133333333333333
"50","LOC111108439","GO:0002116","semaphorin receptor complex",15,2,0.1,0.004,"Cellular Components",0.133333333333333
"51","LOC111109188","GO:0005669","transcription factor TFIID complex",18,2,0.12,0.0058,"Cellular Components",0.111111111111111
"52","LOC111118776","GO:0031462","Cul2-RING ubiquitin ligase complex",7,1,0.04,0.044,"Cellular Components",0.142857142857143
"53","LOC111120511","GO:0005669","transcription factor TFIID complex",18,2,0.12,0.0058,"Cellular Components",0.111111111111111
"54","LOC111122350","GO:0005604","basement membrane",6,1,0.04,0.0378,"Cellular Components",0.166666666666667
"55","LOC111123365","GO:0034751","aryl hydrocarbon receptor complex",5,1,0.03,0.0316,"Cellular Components",0.2
"56","LOC111125533","GO:1990726","Lsm1-7-Pat1 complex",5,1,0.03,0.0316,"Cellular Components",0.2
"57","LOC111129890","GO:0000159","protein phosphatase type 2A complex",7,1,0.04,0.044,"Cellular Components",0.142857142857143
"58","LOC111130065","GO:0005697","telomerase holoenzyme complex",6,1,0.04,0.0378,"Cellular Components",0.166666666666667
"59","LOC111131099","GO:0031594","neuromuscular junction",5,1,0.03,0.0316,"Cellular Components",0.2
"60","LOC111131099","GO:0098831","presynaptic active zone cytoplasmic component",7,1,0.04,0.044,"Cellular Components",0.142857142857143
"61","LOC111132132","GO:0030692","Noc4p-Nop14p complex",2,1,0.01,0.0128,"Cellular Components",0.5
"62","LOC111134663","GO:0071439","clathrin complex",2,1,0.01,0.0128,"Cellular Components",0.5
"63","LOC111099737","GO:0033743","peptide-methionine (R)-S-oxide reductase activity",4,1,0.02,0.0205,"Molecular Functions",0.25
"64","LOC111100561","GO:0004843","thiol-dependent ubiquitin-specific protease activity",92,3,0.47,0.012,"Molecular Functions",0.0326086956521739
"65","LOC111102361","GO:0005096","GTPase activator activity",86,3,0.44,0.01,"Molecular Functions",0.0348837209302326
"66","LOC111102665","GO:0000978","RNA polymerase II proximal promoter sequence-specific DNA binding",460,6,2.37,0.0317,"Molecular Functions",0.0130434782608696
"67","LOC111102665","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",615,7,3.17,0.0397,"Molecular Functions",0.0113821138211382
"68","LOC111103374","GO:0002094","polyprenyltransferase activity",4,1,0.02,0.0205,"Molecular Functions",0.25
"69","LOC111103374","GO:0045547","dehydrodolichyl diphosphate synthase activity",3,1,0.02,0.0154,"Molecular Functions",0.333333333333333
"70","LOC111106022","GO:0017154","semaphorin receptor activity",15,2,0.08,0.0026,"Molecular Functions",0.133333333333333
"71","LOC111106957","GO:0004843","thiol-dependent ubiquitin-specific protease activity",92,3,0.47,0.012,"Molecular Functions",0.0326086956521739
"72","LOC111108439","GO:0017154","semaphorin receptor activity",15,2,0.08,0.0026,"Molecular Functions",0.133333333333333
"73","LOC111111116","GO:0052856","NADHX epimerase activity",8,1,0.04,0.0405,"Molecular Functions",0.125
"74","LOC111115910","GO:0008510","sodium:bicarbonate symporter activity",4,1,0.02,0.0205,"Molecular Functions",0.25
"75","LOC111117505","GO:0000978","RNA polymerase II proximal promoter sequence-specific DNA binding",460,6,2.37,0.0317,"Molecular Functions",0.0130434782608696
"76","LOC111117505","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",615,7,3.17,0.0397,"Molecular Functions",0.0113821138211382
"77","LOC111118411","GO:0097200","cysteine-type endopeptidase activity involved in execution phase of apoptosis",9,1,0.05,0.0454,"Molecular Functions",0.111111111111111
"78","LOC111118472","GO:0070579","methylcytosine dioxygenase activity",1,1,0.01,0.0052,"Molecular Functions",1
"79","LOC111119347","GO:0051267","CP2 mannose-ethanolamine phosphotransferase activity",1,1,0.01,0.0052,"Molecular Functions",1
"80","LOC111120511","GO:0016251","RNA polymerase II general transcription initiation factor activity",34,2,0.18,0.0132,"Molecular Functions",0.0588235294117647
"81","LOC111120557","GO:0048027","mRNA 5'-UTR binding",5,1,0.03,0.0255,"Molecular Functions",0.2
"82","LOC111120557","GO:0070181","small ribosomal subunit rRNA binding",5,1,0.03,0.0255,"Molecular Functions",0.2
"83","LOC111121590","GO:0000978","RNA polymerase II proximal promoter sequence-specific DNA binding",460,6,2.37,0.0317,"Molecular Functions",0.0130434782608696
"84","LOC111121590","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",615,7,3.17,0.0397,"Molecular Functions",0.0113821138211382
"85","LOC111122350","GO:0005201","extracellular matrix structural constituent",9,1,0.05,0.0454,"Molecular Functions",0.111111111111111
"86","LOC111123365","GO:0000978","RNA polymerase II proximal promoter sequence-specific DNA binding",460,6,2.37,0.0317,"Molecular Functions",0.0130434782608696
"87","LOC111123365","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",615,7,3.17,0.0397,"Molecular Functions",0.0113821138211382
"88","LOC111124749","GO:0002039","p53 binding",2,1,0.01,0.0103,"Molecular Functions",0.5
"89","LOC111125663","GO:0005096","GTPase activator activity",86,3,0.44,0.01,"Molecular Functions",0.0348837209302326
"90","LOC111125856","GO:0005096","GTPase activator activity",86,3,0.44,0.01,"Molecular Functions",0.0348837209302326
"91","LOC111127799","GO:0004439","phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity",7,1,0.04,0.0355,"Molecular Functions",0.142857142857143
"92","LOC111129264","GO:0000978","RNA polymerase II proximal promoter sequence-specific DNA binding",460,6,2.37,0.0317,"Molecular Functions",0.0130434782608696
"93","LOC111129264","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",615,7,3.17,0.0397,"Molecular Functions",0.0113821138211382
"94","LOC111129890","GO:0072542","protein phosphatase activator activity",6,1,0.03,0.0305,"Molecular Functions",0.166666666666667
"95","LOC111130064","GO:0030215","semaphorin receptor binding",4,1,0.02,0.0205,"Molecular Functions",0.25
"96","LOC111130064","GO:0045499","chemorepellent activity",4,1,0.02,0.0205,"Molecular Functions",0.25
"97","LOC111130065","GO:0070034","telomerase RNA binding",6,1,0.03,0.0305,"Molecular Functions",0.166666666666667
"98","LOC111130101","GO:0016251","RNA polymerase II general transcription initiation factor activity",34,2,0.18,0.0132,"Molecular Functions",0.0588235294117647
"99","LOC111130344","GO:0000978","RNA polymerase II proximal promoter sequence-specific DNA binding",460,6,2.37,0.0317,"Molecular Functions",0.0130434782608696
"100","LOC111130344","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",615,7,3.17,0.0397,"Molecular Functions",0.0113821138211382
"101","LOC111131099","GO:0017075","syntaxin-1 binding",2,1,0.01,0.0103,"Molecular Functions",0.5
"102","LOC111131099","GO:0019992","diacylglycerol binding",1,1,0.01,0.0052,"Molecular Functions",1
"103","LOC111134195","GO:0004997","thyrotropin-releasing hormone receptor activity",4,1,0.02,0.0205,"Molecular Functions",0.25
"104","LOC111134663","GO:0032051","clathrin light chain binding",3,1,0.02,0.0154,"Molecular Functions",0.333333333333333
"105","LOC111135296","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",615,7,3.17,0.0397,"Molecular Functions",0.0113821138211382
"106","LOC111135587","GO:0043812","phosphatidylinositol-4-phosphate phosphatase activity",3,1,0.02,0.0154,"Molecular Functions",0.333333333333333
"107","LOC111135721","GO:0005220","inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity",5,1,0.03,0.0255,"Molecular Functions",0.2
"108","LOC111136420","GO:0036374","glutathione hydrolase activity",6,1,0.03,0.0305,"Molecular Functions",0.166666666666667
"109","LOC111137126","GO:0004843","thiol-dependent ubiquitin-specific protease activity",92,3,0.47,0.012,"Molecular Functions",0.0326086956521739
"110","LOC111137126","GO:1990380","Lys48-specific deubiquitinase activity",4,1,0.02,0.0205,"Molecular Functions",0.25
