From,Protein names,Gene Names,Organism,Length
LOC111099058,G-protein coupled receptor 157-like,LOC111099058,Crassostrea virginica (Eastern oyster),350
LOC111099613,Sialomucin core protein 24-like isoform X1,LOC111099613,Crassostrea virginica (Eastern oyster),277
LOC111099613,Sialomucin core protein 24-like isoform X2,LOC111099613,Crassostrea virginica (Eastern oyster),226
LOC111099737,Peptide-methionine (R)-S-oxide reductase (EC 1.8.4.12),LOC111099737,Crassostrea virginica (Eastern oyster),183
LOC111099737,Peptide-methionine (R)-S-oxide reductase (EC 1.8.4.12),LOC111099737,Crassostrea virginica (Eastern oyster),177
LOC111100465,5-hydroxytryptamine receptor 1A-like,LOC111100465,Crassostrea virginica (Eastern oyster),483
LOC111100481,Tubby-like protein,LOC111100481,Crassostrea virginica (Eastern oyster),607
LOC111100481,Tubby-like protein,LOC111100481,Crassostrea virginica (Eastern oyster),542
LOC111100481,Tubby-like protein,LOC111100481,Crassostrea virginica (Eastern oyster),616
LOC111100481,Tubby-like protein,LOC111100481,Crassostrea virginica (Eastern oyster),601
LOC111100481,Tubby-like protein,LOC111100481,Crassostrea virginica (Eastern oyster),588
LOC111100557,Synaptotagmin-7-like isoform X4,LOC111100557,Crassostrea virginica (Eastern oyster),515
LOC111100557,Synaptotagmin-7-like isoform X3,LOC111100557,Crassostrea virginica (Eastern oyster),521
LOC111100557,Synaptotagmin-7-like isoform X1,LOC111100557,Crassostrea virginica (Eastern oyster),529
LOC111100557,Synaptotagmin-7-like isoform X5 (Synaptotagmin-7-like isoform X6),LOC111100557 LOC111101166,Crassostrea virginica (Eastern oyster),496
LOC111100557,Synaptotagmin-7-like isoform X2,LOC111100557 LOC111101166,Crassostrea virginica (Eastern oyster),527
LOC111100557,Synaptotagmin-7-like isoform X6 (Synaptotagmin-7-like isoform X7),LOC111101166 LOC111100557,Crassostrea virginica (Eastern oyster),491
LOC111100561,ubiquitinyl hydrolase 1 (EC 3.4.19.12),LOC111100561,Crassostrea virginica (Eastern oyster),2550
LOC111100561,ubiquitinyl hydrolase 1 (EC 3.4.19.12),LOC111100561,Crassostrea virginica (Eastern oyster),2546
LOC111101493,Uncharacterized protein LOC111101493,LOC111101493,Crassostrea virginica (Eastern oyster),266
LOC111102361,Uncharacterized protein LOC111102361 isoform X2,LOC111102361,Crassostrea virginica (Eastern oyster),1645
LOC111102361,Rho GTPase-activating protein 20-like isoform X9,LOC111102361,Crassostrea virginica (Eastern oyster),1381
LOC111102361,Uncharacterized protein LOC111102361 isoform X1,LOC111102361,Crassostrea virginica (Eastern oyster),1646
LOC111102361,Rho GTPase-activating protein 20-like isoform X6,LOC111102361,Crassostrea virginica (Eastern oyster),1433
LOC111102361,Rho GTPase-activating protein 20-like isoform X5,LOC111102361,Crassostrea virginica (Eastern oyster),1442
LOC111102361,Uncharacterized protein LOC111102361 isoform X3,LOC111102361,Crassostrea virginica (Eastern oyster),1638
LOC111102361,Rho GTPase-activating protein 20-like isoform X7,LOC111102361,Crassostrea virginica (Eastern oyster),1431
LOC111102361,Rho GTPase-activating protein 20-like isoform X10,LOC111102361,Crassostrea virginica (Eastern oyster),1325
LOC111102361,Rho GTPase-activating protein 20-like isoform X4,LOC111102361,Crassostrea virginica (Eastern oyster),1496
LOC111102361,Rho GTPase-activating protein 20-like isoform X8,LOC111102361,Crassostrea virginica (Eastern oyster),1392
LOC111102525,"Iron-sulfur clusters transporter ABCB7, mitochondrial (ATP-binding cassette sub-family B member 7, mitochondrial)",LOC111102525,Crassostrea virginica (Eastern oyster),698
LOC111102525,"Iron-sulfur clusters transporter ABCB7, mitochondrial (ATP-binding cassette sub-family B member 7, mitochondrial)",LOC111102525,Crassostrea virginica (Eastern oyster),697
LOC111102594,Betaine--homocysteine S-methyltransferase 1-like isoform X2,LOC111102594,Crassostrea virginica (Eastern oyster),353
LOC111102594,Betaine--homocysteine S-methyltransferase 1-like isoform X1,LOC111102594,Crassostrea virginica (Eastern oyster),353
LOC111102665,D site-binding protein-like isoform X3,LOC111102665,Crassostrea virginica (Eastern oyster),219
LOC111102665,D site-binding protein-like isoform X4,LOC111102665,Crassostrea virginica (Eastern oyster),218
LOC111102665,Hepatic leukemia factor-like isoform X1,LOC111102665,Crassostrea virginica (Eastern oyster),235
LOC111102665,Hepatic leukemia factor-like isoform X2,LOC111102665,Crassostrea virginica (Eastern oyster),234
LOC111103374,Alkyl transferase (EC 2.5.1.-),LOC111103374,Crassostrea virginica (Eastern oyster),334
LOC111103594,Cilia- and flagella-associated protein 47-like isoform X3,LOC111103594,Crassostrea virginica (Eastern oyster),3220
LOC111103594,Cilia- and flagella-associated protein 47-like isoform X1,LOC111103594,Crassostrea virginica (Eastern oyster),3226
LOC111103594,Cilia- and flagella-associated protein 47-like isoform X2,LOC111103594,Crassostrea virginica (Eastern oyster),3221
LOC111104497,Uncharacterized protein LOC111104497,LOC111104497,Crassostrea virginica (Eastern oyster),121
LOC111104689,Spondin-1 (F-spondin),LOC111104689,Crassostrea virginica (Eastern oyster),859
LOC111104689,Spondin-1 (F-spondin),LOC111104689,Crassostrea virginica (Eastern oyster),874
LOC111104689,Spondin-1 (F-spondin),LOC111104689,Crassostrea virginica (Eastern oyster),719
LOC111104689,Spondin-1 (F-spondin),LOC111104689,Crassostrea virginica (Eastern oyster),867
LOC111104689,Spondin-1 (F-spondin),LOC111104689,Crassostrea virginica (Eastern oyster),817
LOC111104689,Spondin-1 (F-spondin),LOC111104689,Crassostrea virginica (Eastern oyster),726
LOC111106022,LOW QUALITY PROTEIN: plexin-B1-like,LOC111106022,Crassostrea virginica (Eastern oyster),1003
LOC111106030,Uncharacterized protein LOC111106030,LOC111106030,Crassostrea virginica (Eastern oyster),245
LOC111106619,Dual serine/threonine and tyrosine protein kinase (EC 2.7.12.1) (Dusty protein kinase) (Receptor-interacting serine/threonine-protein kinase 5),LOC111106619,Crassostrea virginica (Eastern oyster),989
LOC111106619,Dual serine/threonine and tyrosine protein kinase (EC 2.7.12.1) (Dusty protein kinase) (Receptor-interacting serine/threonine-protein kinase 5),LOC111106619,Crassostrea virginica (Eastern oyster),984
LOC111106743,LOW QUALITY PROTEIN: melatonin receptor type 1B-A-like,LOC111106743,Crassostrea virginica (Eastern oyster),369
LOC111106957,Uncharacterized protein LOC111106957,LOC111106957,Crassostrea virginica (Eastern oyster),1060
LOC111107402,Protein deacetylase HDAC6 (Tubulin-lysine deacetylase HDAC6),LOC111107402,Crassostrea virginica (Eastern oyster),1137
LOC111107402,Histone deacetylase 6-like isoform X4,LOC111107402,Crassostrea virginica (Eastern oyster),1108
LOC111107402,Protein deacetylase HDAC6 (Tubulin-lysine deacetylase HDAC6),LOC111107402,Crassostrea virginica (Eastern oyster),1157
LOC111107402,Protein deacetylase HDAC6 (Tubulin-lysine deacetylase HDAC6),LOC111107402,Crassostrea virginica (Eastern oyster),1137
LOC111107403,G-protein coupled receptor moody-like,LOC111107403,Crassostrea virginica (Eastern oyster),331
LOC111107620,Cilia- and flagella-associated protein 54-like isoform X1,LOC111107620,Crassostrea virginica (Eastern oyster),3490
LOC111107620,Cilia- and flagella-associated protein 54-like isoform X4,LOC111107620,Crassostrea virginica (Eastern oyster),3460
LOC111107620,Cilia- and flagella-associated protein 54-like isoform X5,LOC111107620,Crassostrea virginica (Eastern oyster),3454
LOC111107620,Cilia- and flagella-associated protein 54-like isoform X2,LOC111107620,Crassostrea virginica (Eastern oyster),3481
LOC111107620,Cilia- and flagella-associated protein 54-like isoform X3,LOC111107620,Crassostrea virginica (Eastern oyster),3479
LOC111108066,Uncharacterized protein LOC111108066 isoform X1,LOC111108066,Crassostrea virginica (Eastern oyster),2417
LOC111108066,Uncharacterized protein LOC111108066 isoform X2,LOC111108066,Crassostrea virginica (Eastern oyster),2295
LOC111108191,Uncharacterized protein LOC111108191,LOC111108191,Crassostrea virginica (Eastern oyster),1212
LOC111108238,Uncharacterized protein LOC111108238,LOC111108238,Crassostrea virginica (Eastern oyster),955
LOC111108426,Dedicator of cytokinesis protein 3-like isoform X2,LOC111108426,Crassostrea virginica (Eastern oyster),1183
LOC111108426,Dedicator of cytokinesis protein 3-like isoform X1,LOC111108426,Crassostrea virginica (Eastern oyster),1205
LOC111108426,Dedicator of cytokinesis protein 3-like isoform X3,LOC111108426,Crassostrea virginica (Eastern oyster),985
LOC111108439,Plexin-B-like isoform X1,LOC111108439,Crassostrea virginica (Eastern oyster),1892
LOC111108439,Plexin-B-like isoform X2,LOC111108439,Crassostrea virginica (Eastern oyster),1881
LOC111108439,Plexin-B-like isoform X3,LOC111108439,Crassostrea virginica (Eastern oyster),1881
LOC111109188,Uncharacterized protein LOC111109188,LOC111109188,Crassostrea virginica (Eastern oyster),1861
LOC111110299,Uncharacterized protein LOC111110299 isoform X1,LOC111110299,Crassostrea virginica (Eastern oyster),291
LOC111110299,Uncharacterized protein LOC111110299 isoform X2,LOC111110299,Crassostrea virginica (Eastern oyster),290
LOC111110316,ATP-binding cassette sub-family A member 3-like isoform X2,LOC111110316,Crassostrea virginica (Eastern oyster),1597
LOC111110316,ATP-binding cassette sub-family A member 3-like isoform X1,LOC111110316,Crassostrea virginica (Eastern oyster),1688
LOC111110316,ATP-binding cassette sub-family A member 3-like isoform X3,LOC111110316,Crassostrea virginica (Eastern oyster),1571
LOC111110422,peptide chain release factor N(5)-glutamine methyltransferase (EC 2.1.1.297),LOC111110422,Crassostrea virginica (Eastern oyster),322
LOC111110729,FMRFamide receptor-like isoform X1,LOC111110729,Crassostrea virginica (Eastern oyster),397
LOC111110729,FMRFamide receptor-like isoform X2,LOC111110729,Crassostrea virginica (Eastern oyster),393
LOC111110946,Polypeptide N-acetylgalactosaminyltransferase (EC 2.4.1.-) (Protein-UDP acetylgalactosaminyltransferase),LOC111110946,Crassostrea virginica (Eastern oyster),640
LOC111110946,Polypeptide N-acetylgalactosaminyltransferase (EC 2.4.1.-) (Protein-UDP acetylgalactosaminyltransferase),LOC111110946,Crassostrea virginica (Eastern oyster),641
LOC111110946,Polypeptide N-acetylgalactosaminyltransferase (EC 2.4.1.-) (Protein-UDP acetylgalactosaminyltransferase),LOC111110946,Crassostrea virginica (Eastern oyster),638
LOC111110946,Polypeptide N-acetylgalactosaminyltransferase (EC 2.4.1.-) (Protein-UDP acetylgalactosaminyltransferase),LOC111110946,Crassostrea virginica (Eastern oyster),640
LOC111111116,NAD(P)H-hydrate epimerase (EC 5.1.99.6) (NAD(P)HX epimerase),LOC111111116,Crassostrea virginica (Eastern oyster),257
LOC111113264,LOW QUALITY PROTEIN: 5'-AMP-activated protein kinase subunit gamma-2-like,LOC111113264,Crassostrea virginica (Eastern oyster),647
LOC111113399,Uncharacterized protein LOC111113399 isoform X1,LOC111113399,Crassostrea virginica (Eastern oyster),1656
LOC111113399,Uncharacterized protein LOC111113399 isoform X2,LOC111113399,Crassostrea virginica (Eastern oyster),1654
LOC111113399,Ankyrin repeat and sterile alpha motif domain-containing protein 1B-like isoform X3,LOC111113399,Crassostrea virginica (Eastern oyster),1652
LOC111113399,Uncharacterized protein LOC111113399 isoform X4,LOC111113399,Crassostrea virginica (Eastern oyster),1650
LOC111113399,Uncharacterized protein LOC111113399 isoform X5,LOC111113399,Crassostrea virginica (Eastern oyster),1648
LOC111114665,Uncharacterized protein LOC111114665 isoform X1,LOC111114665,Crassostrea virginica (Eastern oyster),492
LOC111114665,Uncharacterized protein LOC111114665 isoform X2,LOC111114665,Crassostrea virginica (Eastern oyster),481
LOC111115122,Tyrosine-protein phosphatase non-receptor type 4-like isoform X3,LOC111115122,Crassostrea virginica (Eastern oyster),1039
LOC111115122,Tyrosine-protein phosphatase non-receptor type 4-like isoform X2,LOC111115122,Crassostrea virginica (Eastern oyster),1043
LOC111115122,Tyrosine-protein phosphatase (EC 3.1.3.48),LOC111115122,Crassostrea virginica (Eastern oyster),998
LOC111115122,Tyrosine-protein phosphatase (EC 3.1.3.48),LOC111115122,Crassostrea virginica (Eastern oyster),1005
LOC111115122,Tyrosine-protein phosphatase (EC 3.1.3.48),LOC111115122,Crassostrea virginica (Eastern oyster),968
LOC111115122,Tyrosine-protein phosphatase non-receptor type 4-like isoform X4,LOC111115122,Crassostrea virginica (Eastern oyster),1038
LOC111115122,protein-tyrosine-phosphatase (EC 3.1.3.48),LOC111115122,Crassostrea virginica (Eastern oyster),989
LOC111115122,Tyrosine-protein phosphatase (EC 3.1.3.48),LOC111115122,Crassostrea virginica (Eastern oyster),961
LOC111115122,Tyrosine-protein phosphatase (EC 3.1.3.48),LOC111115122,Crassostrea virginica (Eastern oyster),997
LOC111115122,Tyrosine-protein phosphatase non-receptor type 4-like isoform X1,LOC111115122,Crassostrea virginica (Eastern oyster),1044
LOC111115122,Tyrosine-protein phosphatase (EC 3.1.3.48),LOC111115122,Crassostrea virginica (Eastern oyster),1012
LOC111115122,Tyrosine-protein phosphatase (EC 3.1.3.48),LOC111115122,Crassostrea virginica (Eastern oyster),983
LOC111115806,Basic proline-rich protein-like isoform X2,LOC111115806,Crassostrea virginica (Eastern oyster),432
LOC111115806,Basic proline-rich protein-like isoform X1,LOC111115806,Crassostrea virginica (Eastern oyster),458
LOC111115806,Basic proline-rich protein-like isoform X3,LOC111115806,Crassostrea virginica (Eastern oyster),419
LOC111115910,Anion exchange protein,LOC111115910,Crassostrea virginica (Eastern oyster),1061
LOC111116156,Sodium/nucleoside cotransporter,LOC111116156,Crassostrea virginica (Eastern oyster),664
LOC111116156,Solute carrier family 28 member 3-like isoform X2,LOC111116156,Crassostrea virginica (Eastern oyster),536
LOC111116412,Two pore potassium channel protein sup-9-like,LOC111116412,Crassostrea virginica (Eastern oyster),353
LOC111116590,Multiple epidermal growth factor-like domains protein 11,LOC111116590,Crassostrea virginica (Eastern oyster),548
LOC111117505,Iroquois-class homeodomain protein irx-2-like,LOC111117505 LOC111136977,Crassostrea virginica (Eastern oyster),502
LOC111117879,Uncharacterized protein LOC111117879 (Uncharacterized protein LOC111133446),LOC111117879 LOC111133446,Crassostrea virginica (Eastern oyster),349
LOC111118262,Chromosome transmission fidelity protein 18 homolog,LOC111118262,Crassostrea virginica (Eastern oyster),903
LOC111118411,Caspase-3-like isoform X2,LOC111118411,Crassostrea virginica (Eastern oyster),296
LOC111118411,Caspase-3-like isoform X1 (Caspase-3-like isoform X2),LOC111118288 LOC111118411,Crassostrea virginica (Eastern oyster),308
LOC111118468,IQ motif and ankyrin repeat domain-containing protein,LOC111118468,Crassostrea virginica (Eastern oyster),585
LOC111118472,Methylcytosine dioxygenase TET (EC 1.14.11.80),LOC111118472,Crassostrea virginica (Eastern oyster),1297
LOC111118776,Zinc finger SWIM domain-containing protein 6-like,LOC111118776,Crassostrea virginica (Eastern oyster),1218
LOC111118976,Prosaposin-like,LOC111118976,Crassostrea virginica (Eastern oyster),918
LOC111119082,Neurogenic locus notch homolog protein 1-like,LOC111119082,Crassostrea virginica (Eastern oyster),781
LOC111119347,GPI ethanolamine phosphate transferase 2,LOC111119347,Crassostrea virginica (Eastern oyster),918
LOC111119838,LOW QUALITY PROTEIN: acidic mammalian chitinase-like,LOC111119838,Crassostrea virginica (Eastern oyster),693
LOC111119914,LOW QUALITY PROTEIN: proprotein convertase subtilisin/kexin type 5-like,LOC111119914,Crassostrea virginica (Eastern oyster),1411
LOC111120025,Mediator of DNA damage checkpoint protein 1 (PAX transactivation activation domain-interacting protein) (PAX-interacting protein 1),LOC111120025,Crassostrea virginica (Eastern oyster),1788
LOC111120025,Mediator of DNA damage checkpoint protein 1 (PAX transactivation activation domain-interacting protein) (PAX-interacting protein 1),LOC111120025,Crassostrea virginica (Eastern oyster),1818
LOC111120025,Mediator of DNA damage checkpoint protein 1,LOC111120025,Crassostrea virginica (Eastern oyster),1788
LOC111120064,Coiled-coil domain-containing protein 6-like,LOC111120064,Crassostrea virginica (Eastern oyster),420
LOC111120511,Transcription initiation factor TFIID subunit 2 (Transcription initiation factor TFIID 150 kDa subunit),LOC111120511,Crassostrea virginica (Eastern oyster),1255
LOC111120526,Uncharacterized protein LOC111120526 isoform X2,LOC111120526,Crassostrea virginica (Eastern oyster),3515
LOC111120526,Uncharacterized protein LOC111120526 isoform X1,LOC111120526,Crassostrea virginica (Eastern oyster),3518
LOC111120526,Uncharacterized protein LOC111120526 isoform X3,LOC111120526,Crassostrea virginica (Eastern oyster),3512
LOC111120557,40S ribosomal protein S14,LOC111120557,Crassostrea virginica (Eastern oyster),150
LOC111120568,Phosphatidylinositol-glycan-specific phospholipase D (EC 3.1.4.50) (Glycosyl-phosphatidylinositol-specific phospholipase D),LOC111120568,Crassostrea virginica (Eastern oyster),848
LOC111121064,"Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial",LOC111121064,Crassostrea virginica (Eastern oyster),440
LOC111121327,Protein Wnt,LOC111121327,Crassostrea virginica (Eastern oyster),353
LOC111121590,Nuclear factor NF-kappa-B p105 subunit-like isoform X1,LOC111121590,Crassostrea virginica (Eastern oyster),1116
LOC111121590,Nuclear factor NF-kappa-B p105 subunit-like isoform X2,LOC111121590,Crassostrea virginica (Eastern oyster),1115
LOC111121907,peptidylprolyl isomerase (EC 5.2.1.8),LOC111121907,Crassostrea virginica (Eastern oyster),141
LOC111121958,Suppressor of SWI4 1 homolog,LOC111121958,Crassostrea virginica (Eastern oyster),482
LOC111122135,Uncharacterized protein LOC111122135,LOC111122135,Crassostrea virginica (Eastern oyster),505
LOC111122175,Polycystin-2-like,LOC111122175,Crassostrea virginica (Eastern oyster),621
LOC111122190,Translocating chain-associated membrane protein,LOC111122190,Crassostrea virginica (Eastern oyster),372
LOC111122350,Laminin subunit alpha-2-like isoform X4,LOC111122350,Crassostrea virginica (Eastern oyster),3093
LOC111122350,Laminin subunit alpha-2-like isoform X5,LOC111122350,Crassostrea virginica (Eastern oyster),2687
LOC111122350,Laminin subunit alpha-2-like isoform X2,LOC111122350,Crassostrea virginica (Eastern oyster),3189
LOC111122350,Laminin subunit alpha-2-like isoform X7,LOC111122350,Crassostrea virginica (Eastern oyster),2571
LOC111122350,Laminin subunit alpha-2-like isoform X1,LOC111122350,Crassostrea virginica (Eastern oyster),3189
LOC111122350,Laminin subunit alpha-2-like isoform X6,LOC111122350,Crassostrea virginica (Eastern oyster),2771
LOC111122350,Laminin subunit alpha-2-like isoform X3,LOC111122350,Crassostrea virginica (Eastern oyster),3185
LOC111122417,PITH domain-containing protein GA19395-like,LOC111122417,Crassostrea virginica (Eastern oyster),212
LOC111122494,Uncharacterized protein LOC111122494,LOC111122494,Crassostrea virginica (Eastern oyster),101
LOC111122725,LOW QUALITY PROTEIN: sodium channel and clathrin linker 1-like,LOC111122725,Crassostrea virginica (Eastern oyster),698
LOC111123031,tRNA (carboxymethyluridine(34)-5-O)-methyltransferase (EC 2.1.1.229) (Alkylated DNA repair protein alkB homolog 8) (S-adenosyl-L-methionine-dependent tRNA methyltransferase ALKBH8),LOC111123031,Crassostrea virginica (Eastern oyster),648
LOC111123187,Neuronal acetylcholine receptor subunit alpha-10-like,LOC111123187,Crassostrea virginica (Eastern oyster),502
LOC111123365,Single-minded homolog 1-like isoform X1,LOC111123365,Crassostrea virginica (Eastern oyster),757
LOC111123365,Aryl hydrocarbon receptor nuclear translocator-like protein 1 isoform X2,LOC111123365,Crassostrea virginica (Eastern oyster),652
LOC111123673,Phospholipid-transporting ATPase (EC 7.6.2.1),LOC111123673,Crassostrea virginica (Eastern oyster),1286
LOC111123673,Phospholipid-transporting ATPase (EC 7.6.2.1),LOC111123673,Crassostrea virginica (Eastern oyster),1295
LOC111123673,Phospholipid-transporting ATPase (EC 7.6.2.1),LOC111123673,Crassostrea virginica (Eastern oyster),1295
LOC111123938,Uncharacterized protein LOC111123938 isoform X1,LOC111123938,Crassostrea virginica (Eastern oyster),4751
LOC111123938,Uncharacterized protein LOC111123938 isoform X5,LOC111123938,Crassostrea virginica (Eastern oyster),4178
LOC111123938,Uncharacterized protein LOC111123938 isoform X2,LOC111123938,Crassostrea virginica (Eastern oyster),4750
LOC111123938,Uncharacterized protein LOC111123938 isoform X6,LOC111123938,Crassostrea virginica (Eastern oyster),3913
LOC111123938,Uncharacterized protein LOC111123938 isoform X3,LOC111123938,Crassostrea virginica (Eastern oyster),4715
LOC111123938,Uncharacterized protein LOC111123938 isoform X4,LOC111123938,Crassostrea virginica (Eastern oyster),4194
LOC111124392,LOW QUALITY PROTEIN: uncharacterized protein LOC111124392,LOC111124392,Crassostrea virginica (Eastern oyster),9957
